i;Stan nastepny pod wplywem 0;odleglosc;stan nastepny pod wyplywem 1;odleglosc;
0;0;0.00308263;32;2.82557;
1;0;2.82557;32;0.00308263;
2;1;1.99881;33;1.99716;
3;1;1.99716;33;1.99881;
4;2;0.00308263;34;2.82557;
5;2;2.82557;34;0.00308263;
6;3;1.99881;35;1.99716;
7;3;1.99716;35;1.99881;
8;4;2.82557;36;0.00308263;
9;4;0.00308263;36;2.82557;
10;5;1.99716;37;1.99881;
11;5;1.99881;37;1.99716;
12;6;2.82557;38;0.00308263;
13;6;0.00308263;38;2.82557;
14;7;1.99716;39;1.99881;
15;7;1.99881;39;1.99716;
16;8;2.82557;40;0.00308263;
17;8;0.00308263;40;2.82557;
18;9;1.99716;41;1.99881;
19;9;1.99881;41;1.99716;
20;10;2.82557;42;0.00308263;
21;10;0.00308263;42;2.82557;
22;11;1.99716;43;1.99881;
23;11;1.99881;43;1.99716;
24;12;0.00308263;44;2.82557;
25;12;2.82557;44;0.00308263;
26;13;1.99881;45;1.99716;
27;13;1.99716;45;1.99881;
28;14;0.00308263;46;2.82557;
29;14;2.82557;46;0.00308263;
30;15;1.99881;47;1.99716;
31;15;1.99716;47;1.99881;
32;16;1.99716;48;1.99881;
33;16;1.99881;48;1.99716;
34;17;2.82557;49;0.00308263;
35;17;0.00308263;49;2.82557;
36;18;1.99716;50;1.99881;
37;18;1.99881;50;1.99716;
38;19;2.82557;51;0.00308263;
39;19;0.00308263;51;2.82557;
40;20;1.99881;52;1.99716;
41;20;1.99716;52;1.99881;
42;21;0.00308263;53;2.82557;
43;21;2.82557;53;0.00308263;
44;22;1.99881;54;1.99716;
45;22;1.99716;54;1.99881;
46;23;0.00308263;55;2.82557;
47;23;2.82557;55;0.00308263;
48;24;1.99881;56;1.99716;
49;24;1.99716;56;1.99881;
50;25;0.00308263;57;2.82557;
51;25;2.82557;57;0.00308263;
52;26;1.99881;58;1.99716;
53;26;1.99716;58;1.99881;
54;27;0.00308263;59;2.82557;
55;27;2.82557;59;0.00308263;
56;28;1.99716;60;1.99881;
57;28;1.99881;60;1.99716;
58;29;2.82557;61;0.00308263;
59;29;0.00308263;61;2.82557;
60;30;1.99716;62;1.99881;
61;30;1.99881;62;1.99716;
62;31;2.82557;63;0.00308263;
63;31;0.00308263;63;2.82557;
